#+TITLE: CENTRAAL EXAMEN: VWO 2016:2024
#+STARTUP: hidestars
#+OPTIONS: ^:nil
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
#+HTML_HEAD: <style>
#+HTML_HEAD: body {
#+HTML_HEAD:   max-width: 1200px; /* Change to your desired width */
#+HTML_HEAD:   margin: 0 auto;    /* Center the content */
#+HTML_HEAD: }
#+HTML_HEAD: </style>


* NAV161VB.TXT

| Vraagnummer | Betrokken Voorwerpen/Concepten                                      | Wat moet je doen of berekenen?                                                                                  | Benodigde kennis/vaardigheden                                                  |
| 16           | Snelheidsvector na fly-by                                             | Construeer de snelheidsvector \(v_{\text{na}}\) van de verkenner in figuur 3c.                                       | Vectoranalyse en gebruik van snelheidsformules.                                   |
| 17           | Computermodel fly-by                                                  | Vul de ontbrekende regels (M, \(x_j\)) aan en leg uit waarom met \(x - x_j\) wordt gerekend.                        | Begrip van modelontwikkeling en relatieve posities.                               |
| 18           | Fly-by, vergelijking modellen                                         | Controleer met getallen of de berekeningen van model 2 overeenkomen met model 3.                                    | Berekening van snelheden en vergelijking van resultaten.                          |
| 19           | Ontsnappingssnelheid uit zonnestelsel                                 | Leid de formule voor de minimale ontsnappingssnelheid \(v_{\text{min}}\) af.                                        | Gravitatie-energie en kinetische energieformules.                                 |
| 20           | Fly-by, eindsnelheid                                                  | Bereken de eindsnelheid \(v_{\text{na}}\) en controleer of deze voldoende is om te ontsnappen.                      | Analyse van snelheid en energieverhoudingen.                                      |
| 21           | Buiging van licht bij spleet                                          | Leg uit waarom de lichtintensiteit bij punten A en B nul is (interferentie).                                         | Begrip van interferentie en buigingspatronen.                                     |
| 22           | Impulsverandering, foton                                              | Bereken de hoek \( \theta \) van het foton na de spleet.                                                            | Berekening met impulsveranderingen en fotonfysica.                                |
| 23           | Heisenberg-onbepaaldheidsrelatie                                      | Bereken de minimale waarde van \(x\) en leg uit of deze op de spleetbreedte of afstand AB slaat.                    | Toepassing van de onzekerheidsrelatie van Heisenberg.                             |
| 24           | Samengestelde stroomdraden, weerstand                                 | Leg uit of de weerstand lager is bij een samengestelde draad.                                                       | Begrip van elektrische weerstand en draadeigenschappen.                           |
| 25           | Samengestelde draad, weerstand en spanning                            | Bereken de weerstand en maximale spanning van de samengestelde draad.                                               | Weerstandsformules en stroomdichtheidsberekeningen.                               |
| 26           | Geleidbaarheid van draadjes                                           | Kies het juiste diagram en leg dit uit met serie- en parallelschakelingen.                                          | Begrip van geleiding en schakelingen.                                             |
| 27           | Quantum-tunneleffect                                                  | Kies de juiste schatting van de luchtspleetbreedte en licht dit toe.                                                | Begrip van tunneling en kwantumfysica.                                            |

* NAV171VB.TXT

| Vraagnummer | Betrokken Voorwerpen/Concepten                                      | Wat moet je doen of berekenen?                                                                                  | Benodigde kennis/vaardigheden                                                  |
|------------------|------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------|
| 1            | Zonvolgsysteem, LDR's, motor                                          | Leg uit waarom er geen stroom door de motor loopt als beide LDRâ€™s evenveel licht ontvangen.                         | Begrip van elektrische schakelingen, LDR-weerstand, en spanningsverdeling.         |
| 2            | Zonvolgsysteem, verlichtingssterkte, LDR-weerstand                   | Bereken de verlichtingssterkte op de LDR wanneer de stroomsterkte 100 mA is.                                        | Grafiekanalyse en de relatie tussen weerstand en verlichtingssterkte.              |
| 3            | Zonvolgsysteem, stroomrichting, motor                                | Leg uit of de stroom door de motor van B naar C of andersom loopt bij schaduw op LDR2.                              | Begrip van stroomrichting en spanningsverschillen in een schakeling.               |
| 4            | Cessna, krachten (Fz, Fm, Flift, Fw,lucht), kruissnelheid            | Bereken de grootte van hoek \( \theta \) bij kruissnelheid.                                                         | Krachten ontbinden en verhoudingen in krachten.                                    |
| 5            | Liftkracht, formule voor \( C_\text{lift} \), eenheden               | Leid de eenheid van \( C_\text{lift} \) af en bepaal de grootte van \( C_\text{lift} \) voor de Cessna.              | Dimensieanalyse en gebruik van schaaltekeningen en gegevens.                       |
| 6            | Bocht met vliegtuig, krachten (Fz, Flift)                            | Leg uit waarom het vliegtuig een bocht maakt en hoogte verliest.                                                    | Krachten ontbinden en vectoranalyse.                                               |
| 7            | Vliegtuighelling, liftkracht                                          | Leg uit hoe de krachten in figuur bijdragen aan het hoogteverlies en de bocht.                                      | Begrip van liftkracht en zwaartekracht bij hellingshoeken.                          |
| 8            | Model voor Cessna-start, kinetische energie                          | Schrijf de volledige modelregel voor de kinetische energie \( E_k \).                                               | Formules voor kinetische energie en modelontwikkeling.                              |
| 9            | Invloed van wind op het model van Cessna-start                       | Leg uit waarom \( v - v_\text{wind} \) wordt gebruikt en of er sprake is van tegenwind of meewind.                  | Begrip van relatieve snelheid en krachtenspel met windinvloeden.                    |
| 10           | Cessna-start, tegenwind                                              | Teken het (v,t)-diagram voor situatie B (met tegenwind) in de figuur op de uitwerkbijlage.                          | Grafiekanalyse en het effect van wind op versnelling en snelheid.                   |
| 11           | Sirius B, temperatuur                                                | Bereken de temperatuur van Sirius B met de piekgolflengte van \( \lambda = 115 \, \text{nm} \).                     | Wet van Wien en kennis van zwarte stralers.                                        |
| 12           | Aantal elektronen in Sirius B                                        | Leg uit waarom het aantal elektronen de helft is van de kerndeeltjes en controleer de orde van grootte.              | Relatie tussen protonen, neutronen en elektronen in plasma.                         |
| 13           | Elektronendichtheid in Sirius B                                      | Toon aan dat de gemiddelde onderlinge afstand \( d \) voldoet aan \( 1 \times 10^{-12} \, \text{m} \).              | Berekeningen met dichtheid en volumes.                                             |
| 14           | Quantummodel voor Sirius B                                           | Leid de formule voor \( \lambda_B \) af, bereken de minimale golflengte en leg uit waarom Sirius B een quantumsysteem is. | Quantummechanica en de Broglie-golflengte.                                         |
| 15           | Quantumenergie en straal van Sirius B                                | Leg uit waarom \( E_{k,Q} \) toeneemt bij een kleinere straal en bepaal de straal van Sirius B met het model.        | Grafiekanalyse en kennis van energie in quantumsystemen.                            |
| 16           | Nanobuisje, golfsnelheid                                             | Bepaal de golfsnelheid van het nanobuisje met gegeven trillingstijd en afmetingen.                                   | Berekeningen met staande golven en frequentie.                                     |
| 17           | Nanobuisje, resonantiefrequentie                                     | Leg uit waarom \( f \) afneemt bij vasthechten van een deeltje en of de golfsnelheid verandert.                      | Formules voor trillingen en resonantie.                                            |
| 18           | Nanobuisje, vasthechten van moleculen                                | Controleer of de gemeten \( \Delta f \) klopt bij \( t = 8,8 \, \text{s} \) en leg uit waarom \( \Delta f \) varieert. | Massa-effecten op frequentie en analyse van experimentele data.                     |
| 19           | Nanobuisje, meetnauwkeurigheid                                       | Bereken of de massa van Ã©Ã©n proton gemeten kan worden met de nanobuis-opstelling.                                    | Analyse van meetnauwkeurigheid en massa-effecten op frequentie.                     |
| 20           | Reactievergelijkingen Xe-124 en I-125                                | Geef de reactievergelijkingen voor de productie van I-125.                                                           | Kernreacties en isotopenanalyse.                                                   |
| 21           | Massa van I-125 in titaniumnaaldjes                                  | Bereken de massa I-125 die nodig is voor een activiteit van 17 MBq.                                                  | Relatie tussen activiteit, halveringstijd en massa.                                 |
| 22           | Activiteit van I-125                                                 | Leg uit of de activiteit van de naaldjes na een jaar maximaal is of afneemt.                                         | Begrip van activiteit en vervalcurves.                                             |
| 23           | Vorm van isodoselijnen rondom tumor                                  | Leg uit waarom de lijnen dicht bij de tumor grillig zijn en verder weg cirkelvormig worden.                          | Stralingsverspreiding, absorptie en kwadratenwet.                                   |
| 24           | Kwadratenwet, absorptie, stralingseffecten                           | Geef aan wie van de leerlingen (Erik, Myrthe, Frank) gelijk heeft.                                                   | Begrip van straling, absorptie en ioniserend effect.                                |
| 25           | Eisen voor bestralingseffectiviteit                                  | Geef aan welke eisen gelden voor dikte en uittree-energie van de coating om emissie te maximaliseren.                 | Analyse van stralingseffecten en optimalisatie.                                     |


* NAV172VB.TXT

| Vraagnummer | Betrokken Voorwerpen/Concepten                                    | Wat moet je doen of berekenen?                                                                                     | Benodigde kennis/vaardigheden                                                |
|------------------|----------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------|
| 1            | Kernreactievergelijkingen bij het ontstaan van Am-241               | Geef de kernreactievergelijkingen voor de eerste en zesde stap in het proces van U-238 naar Am-241.                    | Kernfysica en notatie van kernreacties.                                          |
| 2            | Massa van Am-241                                                   | Bereken de massa van het americium-241 in de rookmelder bij fabricage, gegeven de activiteit van 37 kBq.               | Activiteit, halveringstijd en nucleaire massa.                                   |
| 3            | Ionisatiekamer in rookmelder                                        | Bereken de stroomsterkte die ontstaat in de ionisatiekamer bij een pas gefabriceerde rookmelder.                       | Ionisatie en elektrische stroom.                                                 |
| 4            | IR-straling en rookdetector                                         | Leg uit welke figuren (I-IV) bij de uitleg van Marieke en Hugo passen en wie gelijk heeft.                             | Lichtverstrooiing en gevoeligheid van meetapparatuur.                             |
| 5            | Weerstand in serie met IR-LED                                       | Bereken de waarde van de weerstand in serie met de IR-LED, gebruikmakend van stroomsterkte en spanning.                | Wet van Ohm en grafiekanalyse.                                                   |
| 6            | Val in de X-stream                                                  | Leg uit waarom er in buisdeel AB geen sprake is van vrije val.                                                         | Begrip van krachten en beweging langs een helling.                                |
| 7            | Wrijvingskracht in X-stream                                         | Bereken de maximale grootte van de wrijvingskracht bij een snelheid van 11 m/s in punt C.                              | Vermogen, snelheid en wrijvingskracht.                                           |
| 8            | Wrijvingskracht in model van X-stream                               | Leg uit of een grotere waarde van \( k \) betekent dat er meer of minder water door de buis stroomt.                   | Begrip van weerstandskracht en eenheidsanalyse.                                   |
| 9            | Weglengte sAB in X-stream                                           | Bepaal de waarde van \( s_{AB} \) die past bij het modelresultaat in figuur 5.                                         | Grafiekanalyse en modeltoepassing.                                               |
| 10           | Uitbreiding van het model voor remmen in X-stream                   | Voeg regels en voorwaarden toe aan het model voor het horizontale stuk CD, waarbij de remkracht afhankelijk is van \( v^2 \). | Simulaties en modellen uitbreiden.                                               |
| 11           | Ontwerp van bocht in X-stream                                       | Geef de natuurkundige reden waarom buisdeel BC als cirkelvormig stuk is ontworpen.                                     | Middelpuntzoekende kracht en baankromming.                                       |
| 12           | Snelheid van ISS                                                   | Bereken de snelheid van het ISS met behulp van het viriaal-theorema.                                                   | Gravitatie-energie, kinetische energie en cirkelbanen.                            |
| 13           | Afleiding van het viriaal-theorema                                 | Leid het viriaal-theorema voor een satelliet in een cirkelbaan af.                                                     | Wetten van behoud en gravitatie.                                                 |
| 14           | Donkere materie in Comacluster                                     | Bereken het percentage van donkere materie in het Comacluster, gebruikmakend van het viriaal-theorema.                 | Donkere materie, massa en snelheden in sterrenstelsels.                           |
| 15           | Viriaal-theorema en helium                                          | Laat zien dat de gegevens in tabel 1 van helium voldoen aan het viriaal-theorema en experimentele waarden.             | Energieanalyse, ionisatie-energie en tabelgebruik (BiNaS).                        |
| 16           | Grondtoestand van waterstof                                         | Vul de energiewaarden voor waterstof in de tabel op de uitwerkbijlage in.                                              | Berekeningen voor energie in de grondtoestand.                                   |
| 17           | Grondfrequentie van strip 1                                         | Toon aan dat de grondfrequentie van strip 1 overeenkomt met 0,59 kHz.                                                  | Frequentieberekeningen en grafiekanalyse.                                        |
| 18           | Verschillende golfsnelheden in strips                              | Toon aan dat strip 7 een andere golfsnelheid heeft dan strip 1.                                                        | Golfsnelheid en frequentieverbanden.                                             |
| 19           | Effect van snelheid hendel op toonhoogte                           | Leg uit of de toonhoogte verandert als de hendel sneller wordt rondgedraaid.                                           | Verband tussen frequentie en beweging.                                           |
| 20           | Elektronenstroom meten                                             | Teken een stroommeter en spanningsmeter in figuur 1 en leg uit hoe de temperatuur wordt aangepast.                     | Elektrisch schakelen en temperatuurregeling.                                      |
| 21           | Saturatie van elektronenstroom                                     | Leg uit waarom \( I_{AK} \) bij grote waarden van \( U_{AK} \) niet meer toeneemt.                                     | Elektrische emissie en verzadigingsstroom.                                        |
| 22           | Temperatuur van gloeidraad                                         | Bepaal in welke figuur de juiste planck-kromme staat en bepaal de temperatuur van de gloeidraad.                       | Stralingswet en planck-krommen.                                                   |
| 23           | Reflectiecoëfficiënt \( r \)                                       | Bepaal met figuur 4 de reflectiecoëfficiënt \( r \).                                                                  | Analyse van stroomdichtheid en reflectie.                                         |
| 24           | Quantumverschijnselen en coatings                                  | Ga na of de coating bij 2000 K een quantumverschijnsel kan zijn en leg uit waarom dit effect sterker is bij lagere T.   | Quantummechanica en tunneling.                                                   |
| 25           | Eisen voor coatings                                                | Geef de eisen voor dikte en uittree-energie van de coating om emissiekans te maximaliseren bij lagere temperaturen.     | Begrip van quantummechanica en thermische emissie.                                |

* NAV181VB.TXT

| Vraagnummer | Betrokken Voorwerpen/Concepten                                   | Acties/Berekeningen                                                                                     | Benodigde Kennis/Vaardigheden                                                   |
|------------------|---------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------|
| 1            | Uitrij-afstand auto                                                | Bereken de uitrij-afstand met behulp van de gegeven \( v, t \)-grafiek.                                      | Grafiekanalyse, oppervlakte onder een grafiek berekenen.                           |
| 2            | Evenredigheidsconstante \( k \)                                    | Leid de eenheid van \( k \) af in basiseenheden van het SI-systeem.                                          | Eenheidsanalyse, Binas of ScienceData.                                             |
| 3            | Parameters \( k \) en \( F_{\text{rol}} \), model aanpassen        | Leg uit hoe \( k \) en \( F_{\text{rol}} \) moeten worden aangepast.                                         | Relatie tussen weerstandskrachten en snelheid.                                      |
| 4            | Computermodel auto                                                 | Beschrijf welke regels/stopvoorwaarde moeten worden toegevoegd aan het model.                               | Begrip van modelregels en stopcondities in simulaties.                              |
| 5            | Vermogen motor                                                     | Bereken het vermogen dat de motor moet leveren bij een constante snelheid van 25 m/s.                        | Vermogensformule: \( P = F \cdot v \), met krachtenanalyse.                         |
| 6            | Kinetische en gravitatie-energie van een komeet                    | Bereken de snelheid waarmee de komeet op aarde aankomt.                                                      | Energiebalans en snelheid berekeningen.                                             |
| 7            | IR-spectrum van een komeet                                         | Geef aan of het spectrum chemische samenstelling of temperatuur aangeeft.                                   | Spectroscopische analyse en interpretatie.                                          |
| 8            | Waarschijnlijkheid \( W \), theorie 1                              | Bereken \( W \) bij 10 K en 2100 K en leg uit waarom theorie 1 niet klopt.                                   | Begrip van activatie-energie en temperatuur.                                        |
| 9            | Quantum-tunneleffect                                               | Gebruik de formule voor de de Broglie-golflengte om kans op tunneling te beoordelen.                         | Quantummechanica en de Broglie-golflengte.                                          |
| 10           | Kans op quantum-tunneleffect, deuterium                            | Leg uit of de kans op tunneling met deuterium groter of kleiner is dan met waterstof.                        | Massa-effecten op quantummechanisch tunneling.                                      |
| 11           | Leeftijd heelal en watervorming                                    | Leg uit waarom het heelal oud genoeg is voor watervorming volgens theorie 2.                                | Relatie tussen leeftijd van het heelal en temperatuur.                              |
| 12           | Terug-tunneling                                                    | Leg uit of terug-tunneling een obstakel is voor watervorming.                                                | Quantummechanica en chemische reacties.                                             |
| 13           | Staande golf, meetwaarden                                           | Laat zien dat de eerste meetwaarde klopt en verklaar waarom er geen recht evenredig verband is.              | Berekening met golflengte en spanning.                                              |
| 14           | Nauwkeurigheid grafiekanalyse                                      | Leg uit waarom het nauwkeuriger is om een lijn door meerdere punten te gebruiken dan één meetpunt.           | Statistische nauwkeurigheid.                                                        |
| 15           | Frequentie trilmechanisme tandenborstel                           | Leid de steilheid van de \( \lambda^2, F \)-grafiek af en bereken de frequentie van het trilmechanisme.      | Golfsnelheid en frequentie berekeningen.                                            |
| 16           | Vermindering van knopen en buiken                                  | Geef aan welke grootheden aangepast moeten worden om minder knopen en buiken te krijgen.                     | Begrip van golflengte, spanning en massa.                                           |
| 17           | Veiligheid MRI vs. CT                                              | Leg uit waarom MRI veiliger is voor de patiënt dan CT.                                                       | Begrip van stralingsintensiteit en risico's.                                        |
| 18           | RF-puls frequentie                                                 | Bereken de frequentie die een RF-puls moet hebben bij een magnetisch veld van 5,0 T.                         | Gebruik van formule \( E = h\gamma B_{\text{MRI}} \).                               |
| 19           | Gradiëntveld MRI                                                   | Geef richting van het gradiëntveld, stroom, en polariteit in gradiëntspoelen.                                | Magnetische velden en spoelen.                                                      |
| 20           | Variatie in gradiëntveld                                           | Teken hoe \( B_{\text{MRI}} \) verloopt als het plakje dunner en dichter bij het hoofd komt te liggen.       | Aanpassingen aan magnetisch veld.                                                   |
| 21           | Weefselanalyse met MRI                                             | Leg uit of het weefsel bij de pijl hersenweefsel is of ander weefsel.                                        | Waterstofkernendichtheid en beeldanalyse.                                           |
| 22           | Accu energieverbruik                                               | Bereken het aantal volledig opgeladen accu's dat nodig is om een weerstation een jaar te laten werken.       | Energie, vermogen en accucapaciteit berekeningen.                                   |
| 23           | Vermogen aan weerstand geleverd                                    | Bereken het vermogen dat aan weerstand \( R_3 \) geleverd wordt.                                             | Vermogensformule \( P = I^2R \).                                                    |
| 24           | Zonnepaneel spanning \( U_{\text{zp}} \)                           | Bereken de spanning van het zonnepaneel met behulp van Kirchhoff's wetten.                                   | Spanningswet van Kirchhoff.                                                         |
| 25           | Accu en zonnepaneel, stroomverloop                                 | Geef de waarden van \( U_{\text{zp}} \) waarbij de accu stroom levert of wordt opgeladen.                    | Analyseren van stroom/spanningsgrafieken.                                           |
| 26           | Diode in schakeling                                                | Teken een diode in de schakeling om te voorkomen dat de accu stroom levert aan het zonnepaneel.              | Begrip van diodes en elektrische schakelingen.                                       |

* NAV182VB.TXT

| Vraagnummer | Betrokken Voorwerpen/Concepten                                         | Acties/Berekeningen                                                                                 | Benodigde Kennis/Vaardigheden                                                     |
|------------------|---------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| 1            | Elektromotortje, accu                                                   | Bereken het minimale volume van de accu met behulp van de tabelgegevens.                                | Vermogen, energiedichtheid, en accuvermogen berekeningen.                            |
| 2            | Thermografische camera, straling                                        | Bereken de golflengte waarvoor de camera gevoelig is.                                                    | Gebruik van Planckâ€™s wet en Binas-tabel 19B of ScienceData-tabel 5.1.c.              |
| 3            | Elektromagneten in wiel                                                 | Bereken hoe lang de batterij de elektromagneten kan voeden.                                             | Capaciteit van batterijen en stroomsterkte berekenen.                                 |
| 4            | Spoelen in fietsframe                                                   | Benoem het verschijnsel waardoor in spoel K een signaal wordt opgewekt.                                  | Wet van Faraday en elektromagnetische inductie.                                       |
| 5            | Magnetische veldlijnen, stroomrichting                                 | Teken veldlijnen en stroomrichting in spoel L en verklaar frequentieaanpassing.                         | Magnetisme, Lorentzkracht, en inductie.                                               |
| 6            | Spoel L, frequentieaanpassing                                           | Verklaar waarom de frequentie van stroomstoten aanpasbaar moet zijn.                                    | Begrip van synchronisatie tussen elektromagneten en beweging.                        |
| 7            | Gravitron, toerental                                                   | Bepaal de totale afgelegde afstand met behulp van de grafiek.                                            | Cirkelsnelheid en integreren van toerental tegen tijd.                                |
| 8            | Krachtsconstructie in Gravitron                                        | Teken krachten (zwaartekracht, normaalkracht, etc.) en bepaal grootte en richting.                      | Vectorconstructie en krachtenbalans.                                                  |
| 9            | Normaalkracht tijdens rotatie                                           | Leg uit waarom de normaalkracht toeneemt als de Gravitron draait.                                       | Middelpuntzoekende kracht en krachtenbalans.                                          |
| 10           | Middelpuntzoekende kracht                                               | Leid formule voor \( F_{\text{mpz}} \) af en vergelijk situaties A en B (omgekeerd hangen).              | Afleiding van \( F_{\text{mpz}} = \frac{4\pi^2mr}{T^2} \).                            |
| 11           | Laser, intensiteit                                                     | Leg uit waarom laserlicht een hogere intensiteit heeft dan normaal licht.                               | Coherentie van golven en optische eigenschappen.                                       |
| 12           | Rhodamine 6G, emissiespectrum                                           | Verklaar waarom het emissiespectrum naar rechts verschoven is.                                          | Energieverlies door interne stralingsloze overgangen.                                 |
